skill,trit,role
curiosity-driven,0,COORDINATOR
cybernetic-immune,0,COORDINATOR
cybernetic-open-game,1,GENERATOR
database-design,-1,VALIDATOR
datalog-fixpoint,0,COORDINATOR
deepwiki-mcp,-1,VALIDATOR
defillama-api,0,COORDINATOR
delta-derivation,-1,VALIDATOR
depth-search,-1,VALIDATOR
derangement-crdt,0,COORDINATOR
derangement-reflow,1,GENERATOR
developer-growth-analysis,0,COORDINATOR
dialectica,1,GENERATOR
directed-interval,1,GENERATOR
discohy-streams,-1,VALIDATOR
discopy,-1,VALIDATOR
discopy-operads,-1,VALIDATOR
discrete-backprop,-1,VALIDATOR
doc-coauthoring,-1,VALIDATOR
docs-acset,-1,VALIDATOR
docx,-1,VALIDATOR
domain-name-brainstormer,1,GENERATOR
drive-acset,0,COORDINATOR
duck-agent,0,COORDINATOR
duck-time-travel,1,GENERATOR
duckdb-ies,-1,VALIDATOR
duckdb-quadruple-interleave,1,GENERATOR
duckdb-spatial,-1,VALIDATOR
duckdb-temporal-versioning,1,GENERATOR
duckdb-timetravel,1,GENERATOR
ducklake-walk,-1,VALIDATOR
dune-analytics,1,GENERATOR
dynamic-sufficiency,1,GENERATOR
dynamic-sufficiency-goblin,1,GENERATOR
dynamical-system-functor,-1,VALIDATOR
effective-topos,1,GENERATOR
eigenvalue-stability,1,GENERATOR
elements-infinity-cats,-1,VALIDATOR
elisp,1,GENERATOR
emacs,-1,VALIDATOR
emacs-info,-1,VALIDATOR
entropy-sequencer,-1,VALIDATOR
enzyme-autodiff,-1,VALIDATOR
epistemic-arbitrage,0,COORDINATOR
equilibrium,-1,VALIDATOR
ergodicity,0,COORDINATOR
ewig-editor,-1,VALIDATOR
exa-search,-1,VALIDATOR
excellence-gradient,-1,VALIDATOR
exo-distributed,0,COORDINATOR
external,-1,VALIDATOR
fasttime-mcp,1,GENERATOR
ffmpeg,-1,VALIDATOR
ffmpeg-media,1,GENERATOR
file-organizer,1,GENERATOR
finder-color-walk,-1,VALIDATOR
flow,1,GENERATOR
flox,-1,VALIDATOR
fnox-secrets,1,GENERATOR
fokker-planck-analyzer,1,GENERATOR
forward-forward-learning,-1,VALIDATOR
free-monad-gen,-1,VALIDATOR
frontend-design,-1,VALIDATOR
frustration-eradication,0,COORDINATOR
fswatch-duckdb,0,COORDINATOR
gay-fokker-planck-staging,1,GENERATOR
gay-integration,-1,VALIDATOR
gay-julia,1,GENERATOR
gay-mcp,1,GENERATOR
gay-monte-carlo,1,GENERATOR
geiser-chicken,-1,VALIDATOR
geodesic-manifold,1,GENERATOR
geohash-coloring,-1,VALIDATOR
gestalt-hacking,-1,VALIDATOR
gesture-hypergestures,-1,VALIDATOR
gf3-pr-verify,-1,VALIDATOR
gf3-tripartite,0,COORDINATOR
gflownet,-1,VALIDATOR
gh,1,GENERATOR
gh-cli,0,COORDINATOR
gh-interactome,0,COORDINATOR
glass-bead-game,1,GENERATOR
glass-hopping,0,COORDINATOR
gmail-anima,0,COORDINATOR
goblins,-1,VALIDATOR
godel-machine,0,COORDINATOR
google-workspace,-1,VALIDATOR
graph-grafting,-1,VALIDATOR
guile,0,COORDINATOR
guile-goblins-hoot,-1,VALIDATOR
gworkspace-mcp,-1,VALIDATOR
harmonic-centrality-transport,1,GENERATOR
haskell-diagrams,1,GENERATOR
hatchery-index,-1,VALIDATOR
hatchery-papers,1,GENERATOR
holes,1,GENERATOR
hoot,-1,VALIDATOR
hopf,1,GENERATOR
hvm-runtime,1,GENERATOR
hy-emacs,-1,VALIDATOR
hyjax-relational,0,COORDINATOR
hyperbolic-bulk,-1,VALIDATOR
hyperbolicity,1,GENERATOR
hythermal,0,COORDINATOR
iecsat-storage,0,COORDINATOR
ies,0,COORDINATOR
ies-flox,1,GENERATOR
ies-triadic,0,COORDINATOR
ihara-zeta,1,GENERATOR
image-enhancer,0,COORDINATOR
implicit-coordination,0,COORDINATOR
infinity-operads,-1,VALIDATOR
influence-propagation,1,GENERATOR
initial-value-problem,1,GENERATOR
intent-sink,1,GENERATOR
interaction-nets,1,GENERATOR
internal-comms,-1,VALIDATOR
invariant-measure,0,COORDINATOR
invariant-set,1,GENERATOR
iroh-p2p,0,COORDINATOR
jacobian,0,COORDINATOR
javascript-typescript,-1,VALIDATOR
jaxlife-open-ended,-1,VALIDATOR
jira-issues,1,GENERATOR
job-application,-1,VALIDATOR
joker-lint,1,GENERATOR
julia-gay,-1,VALIDATOR
julia-scientific,-1,VALIDATOR
juvix-intents,-1,VALIDATOR
kan-extensions,-1,VALIDATOR
keychain-secure,1,GENERATOR
kinetic-block,1,GENERATOR
kolmogorov-codex-quest,0,COORDINATOR
kolmogorov-compression,-1,VALIDATOR
koopman-generator,-1,VALIDATOR
kuramoto-model,0,COORDINATOR
l-space,1,GENERATOR
lambda-calculus,0,COORDINATOR
langevin-dynamics,1,GENERATOR
lasalle-invariance,0,COORDINATOR
latent-latency,0,COORDINATOR
lead-research-assistant,1,GENERATOR
lean-proof-walk,0,COORDINATOR
lhott-cohesive-linear,0,COORDINATOR
limit-set,-1,VALIDATOR
linear-logic,-1,VALIDATOR
linearization,-1,VALIDATOR
lispsyntax-acset,1,GENERATOR
little-schemer,0,COORDINATOR
livekit-omnimodal,0,COORDINATOR
llm-application-dev,0,COORDINATOR
load-skills,1,GENERATOR
local-compositionality-gadget,0,COORDINATOR
local-finetune,1,GENERATOR
localsend-analysis,-1,VALIDATOR
localsend-mcp,1,GENERATOR
lyapunov-function,0,COORDINATOR
lyapunov-stability,-1,VALIDATOR
map-projection,-1,VALIDATOR
markov-game-acset,1,GENERATOR
mathpix-ocr,0,COORDINATOR
mcp-builder,0,COORDINATOR
mcp-spec-checker,0,COORDINATOR
mcp-tripartite,-1,VALIDATOR
mdm-cobordism,-1,VALIDATOR
media,1,GENERATOR
meeting-insights-analyzer,1,GENERATOR
merkle-proof-validation,-1,VALIDATOR
mermaid-reverse-attempt,1,GENERATOR
mitm,-1,VALIDATOR
mlx-apple-silicon,1,GENERATOR
mlx-jax-splitmix,0,COORDINATOR
moebius-inversion,1,GENERATOR
moth-actias,0,COORDINATOR
move-smith-fuzzer,-1,VALIDATOR
mruler,-1,VALIDATOR
multiversal-finance,-1,VALIDATOR
möbius-color-duality,-1,VALIDATOR
narya-hatchery,-1,VALIDATOR
narya-proofs,-1,VALIDATOR
naturality-factor,-1,VALIDATOR
nerv,-1,VALIDATOR
network,-1,VALIDATOR
networked-system,1,GENERATOR
nickel,1,GENERATOR
nix-acset-worlding,-1,VALIDATOR
oapply-colimit,1,GENERATOR
obstruction-learning,1,GENERATOR
ocaml,-1,VALIDATOR
og,1,GENERATOR
olmoearth-mlx,0,COORDINATOR
opam,0,COORDINATOR
opam-ocaml,1,GENERATOR
open-games,1,GENERATOR
operad-compose,-1,VALIDATOR
ordered-locale,1,GENERATOR
ordered-locale-fanout,0,COORDINATOR
ordered-locale-proper,0,COORDINATOR
org,1,GENERATOR
osm-topology,-1,VALIDATOR
paperproof-validator,1,GENERATOR
parallel-fanout,-1,VALIDATOR
parameter-dependent,0,COORDINATOR
paypal-mcp,-1,VALIDATOR
pdf,-1,VALIDATOR
periodic-orbit,0,COORDINATOR
persistent-homology,-1,VALIDATOR
phase-locking,0,COORDINATOR
phase-portrait-generator,-1,VALIDATOR
phase-space-transformation,-1,VALIDATOR
pitchfork,1,GENERATOR
pkg-memory-bridge,0,COORDINATOR
planar-isotopy-screen,0,COORDINATOR
playwright,0,COORDINATOR
playwright-unworld,1,GENERATOR
plr-thread-coloring,0,COORDINATOR
plurigrid-asi-integrated,1,GENERATOR
polyglot-spi,1,GENERATOR
polysimy-effect-chains,-1,VALIDATOR
pptx,-1,VALIDATOR
pre-agent-ontology,1,GENERATOR
proof-of-frog,1,GENERATOR
proofgeneral-narya,1,GENERATOR
propagators,0,COORDINATOR
protocol-acset,0,COORDINATOR
protocol-evolution-markets,0,COORDINATOR
pulse-mcp-stream,0,COORDINATOR
pun-decomposition,1,GENERATOR
python-development,0,COORDINATOR
qa-regression,-1,VALIDATOR
qri-valence,-1,VALIDATOR
quantum-guitar,0,COORDINATOR
quantum-music,-1,VALIDATOR
quic-channel-grading,-1,VALIDATOR
radare2-hatchery,0,COORDINATOR
raffle-winner-picker,0,COORDINATOR
rama-gay-clojure,1,GENERATOR
rama-gay-zig,-1,VALIDATOR
ramanujan-expander,0,COORDINATOR
random-walk-fusion,-1,VALIDATOR
reafference-corollary-discharge,0,COORDINATOR
recursive-string-diagrams,-1,VALIDATOR
reflow,-1,VALIDATOR
refuse-mediocrity,0,COORDINATOR
repeller,1,GENERATOR
resource-sharing,0,COORDINATOR
reverse-engineering,-1,VALIDATOR
reversible-computing,1,GENERATOR
rezk-types,1,GENERATOR
rg-flow-acset,1,GENERATOR
rick-roderick,0,COORDINATOR
rio-webgpu-tiles,0,COORDINATOR
rubato-composer,1,GENERATOR
ruler,1,GENERATOR
ruler-maximal,-1,VALIDATOR
rust,-1,VALIDATOR
saddle-node,0,COORDINATOR
say-ducklake-xor,-1,VALIDATOR
say-narration,1,GENERATOR
scheme,0,COORDINATOR
scum-resource,0,COORDINATOR
scum-score,0,COORDINATOR
segal-types,1,GENERATOR
self-evolving-agent,0,COORDINATOR
self-validation-loop,1,GENERATOR
semi-conjugacy,-1,VALIDATOR
sense,1,GENERATOR
shadow-goblin,0,COORDINATOR
sheaf-cohomology,-1,VALIDATOR
sheaf-laplacian-coordination,-1,VALIDATOR
sicmutils,1,GENERATOR
sicp,0,COORDINATOR
signal-isolated-auth,0,COORDINATOR
signal-messaging,0,COORDINATOR
skill-bonds,-1,VALIDATOR
skill-connectivity-hub,-1,VALIDATOR
skill-creator,1,GENERATOR
skill-dispatch,-1,VALIDATOR
skill-embedding-vss,1,GENERATOR
skill-evolution,-1,VALIDATOR
skill-installer,0,COORDINATOR
skill-specification,-1,VALIDATOR
skill-validation-gf3,0,COORDINATOR
slack-gif-creator,0,COORDINATOR
slime-lisp,1,GENERATOR
slowtime-mcp,0,COORDINATOR
soliton-detection,0,COORDINATOR
solver-fee,1,GENERATOR
specter-acset,0,COORDINATOR
spi-parallel-verify,1,GENERATOR
splitmixternary-opine,0,COORDINATOR
spotify,0,COORDINATOR
squint-runtime,0,COORDINATOR
srfi,1,GENERATOR
stability,-1,VALIDATOR
stable-manifold,1,GENERATOR
stellogen,1,GENERATOR
storage-reclaim,1,GENERATOR
structural-rewilding,1,GENERATOR
structural-stability,-1,VALIDATOR
structured-decomp,0,COORDINATOR
substitute-eraser,-1,VALIDATOR
synchronization,-1,VALIDATOR
synthetic-adjunctions,-1,VALIDATOR
system2-attention,0,COORDINATOR
tailscale,-1,VALIDATOR
tailscale-file-transfer,-1,VALIDATOR
tailscale-localsend,1,GENERATOR
tailscale-mesh,1,GENERATOR
tasks-acset,0,COORDINATOR
temporal-coalgebra,-1,VALIDATOR
tenderloin,-1,VALIDATOR
terminal,1,GENERATOR
theme-factory,0,COORDINATOR
three-match,0,COORDINATOR
tidar-thread-probe,-1,VALIDATOR
time-parameterization,1,GENERATOR
time-travel-crdt,1,GENERATOR
tmp-filesystem-watcher,1,GENERATOR
tmux,-1,VALIDATOR
topoi-hatchery,1,GENERATOR
topos-adhesive-rewriting,0,COORDINATOR
topos-catcolab,0,COORDINATOR
topos-generate,1,GENERATOR
topos-of-music,0,COORDINATOR
topos-unified,-1,VALIDATOR
trajectory,-1,VALIDATOR
transcritical,-1,VALIDATOR
tree-sitter,0,COORDINATOR
triad-interleave,-1,VALIDATOR
triadic-skill-loader,1,GENERATOR
triadic-skill-orchestrator,0,COORDINATOR
triangle-metrics,0,COORDINATOR
trifurcated-transfer,0,COORDINATOR
tripartite-decompositions,-1,VALIDATOR
turing-chemputer,-1,VALIDATOR
type-checker,1,GENERATOR
ultrametric-distance,-1,VALIDATOR
unison,1,GENERATOR
unison-acset,0,COORDINATOR
universal-captp-derivation,0,COORDINATOR
unstable-manifold,1,GENERATOR
unwiring-arena,0,COORDINATOR
unworld,1,GENERATOR
unworlding-involution,0,COORDINATOR
uv-discohy,0,COORDINATOR
uv-oneliners,0,COORDINATOR
vector-field,1,GENERATOR
video-downloader,0,COORDINATOR
video-processor,-1,VALIDATOR
voice-channel-uwd,-1,VALIDATOR
ward-identity-checker,-1,VALIDATOR
webapp-testing,-1,VALIDATOR
wev-orderless,-1,VALIDATOR
wev-tesseract,-1,VALIDATOR
wev-verification,-1,VALIDATOR
whitehole-audio,-1,VALIDATOR
workspace-unified,1,GENERATOR
world-extractable-value,1,GENERATOR
world-hopping,-1,VALIDATOR
world-memory-worlding,0,COORDINATOR
world-runtime,1,GENERATOR
worlding,0,COORDINATOR
worldmat-tidar,0,COORDINATOR
xenodium-elisp,0,COORDINATOR
xlsx,1,GENERATOR
yoneda-directed,1,GENERATOR
zig,-1,VALIDATOR
zig-programming,1,GENERATOR
zls-integration,0,COORDINATOR
zulip-cogen,0,COORDINATOR
zx-calculus,1,GENERATOR
